"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",5,"Enemy","Imagine Dragons & JID","False","Look out for yourself","False",2
"2",5,"Enemy","Imagine Dragons & JID","False","","False",2
"3",5,"Enemy","Imagine Dragons & JID","False","I wake up to the sounds of the silence that allows","False",2
"4",5,"Enemy","Imagine Dragons & JID","False","For my mind to run around, with my ear up to the ground","False",2
"5",5,"Enemy","Imagine Dragons & JID","False","I'm searching to behold the stories that are told","False",2
"6",5,"Enemy","Imagine Dragons & JID","False","When my back is to the world that was smiling when I turned","False",2
"7",5,"Enemy","Imagine Dragons & JID","False","","False",2
"8",5,"Enemy","Imagine Dragons & JID","False","Tell you you're the greatest","False",2
"9",5,"Enemy","Imagine Dragons & JID","False","But once you turn, they hate us","False",2
"10",5,"Enemy","Imagine Dragons & JID","False","","False",2
"11",5,"Enemy","Imagine Dragons & JID","False","Oh, the misery","False",2
"12",5,"Enemy","Imagine Dragons & JID","False","Everybody wants to be my enemy","False",2
"13",5,"Enemy","Imagine Dragons & JID","False","Spare the sympathy","False",2
"14",5,"Enemy","Imagine Dragons & JID","False","Everybody wants to be my enemy-y-y-y-y","False",2
"15",5,"Enemy","Imagine Dragons & JID","False","(Look out for yourself)","False",2
"16",5,"Enemy","Imagine Dragons & JID","False","My enemy-y-y-y-y (Look, look, look, look)","False",2
"17",5,"Enemy","Imagine Dragons & JID","False","(Look out for yourself)","False",2
"18",5,"Enemy","Imagine Dragons & JID","False","But I'm ready","False",2
"19",5,"Enemy","Imagine Dragons & JID","False","","False",2
"20",5,"Enemy","Imagine Dragons & JID","False","Your words up on thе wall as you're prayin' for my fall","False",2
"21",5,"Enemy","Imagine Dragons & JID","False","And the laughter in thе halls and the names that I've been called","False",2
"22",5,"Enemy","Imagine Dragons & JID","False","I stack it in my mind, and I'm waiting for the time","False",2
"23",5,"Enemy","Imagine Dragons & JID","False","When I show you what it's like to be words spit in a mic","False",2
"24",5,"Enemy","Imagine Dragons & JID","False","Tell you you're the greatest","False",2
"25",5,"Enemy","Imagine Dragons & JID","False","But once you turn, they hate us (Huh)","False",2
"26",5,"Enemy","Imagine Dragons & JID","False","","False",2
"27",5,"Enemy","Imagine Dragons & JID","False","Oh, the misery","False",2
"28",5,"Enemy","Imagine Dragons & JID","False","Everybody wants to be my enemy","False",2
"29",5,"Enemy","Imagine Dragons & JID","False","Spare the sympathy","False",2
