"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",4,"Dirty Little Animals","BONES UK","False","Taste what fell from grace","False",3
"2",4,"Dirty Little Animals","BONES UK","False","Wanna taste what fell from grace","False",3
"3",4,"Dirty Little Animals","BONES UK","False","Run away from the faith","False",3
"4",4,"Dirty Little Animals","BONES UK","False","Let's race if you wanna taste","False",3
"5",4,"Dirty Little Animals","BONES UK","False","You wanna mess around?","False",3
"6",4,"Dirty Little Animals","BONES UK","False","They gonna take you down, down, down","False",3
"7",4,"Dirty Little Animals","BONES UK","False","Wanna slide and turn","False",3
"8",4,"Dirty Little Animals","BONES UK","False","Such a lovely way to burn, burn, burn","False",3
"9",4,"Dirty Little Animals","BONES UK","False","","False",3
"10",4,"Dirty Little Animals","BONES UK","False","I never felt like this before","False",3
"11",4,"Dirty Little Animals","BONES UK","False","I think I might just want some more","False",3
"12",4,"Dirty Little Animals","BONES UK","False","I never felt like this before","False",3
"13",4,"Dirty Little Animals","BONES UK","False","I think I might just—","False",3
"14",4,"Dirty Little Animals","BONES UK","False","","False",3
"15",4,"Dirty Little Animals","BONES UK","False","Slide, shake your bones out if you wanna ride","False",3
"16",4,"Dirty Little Animals","BONES UK","False","Throw your head back, make you feel alive","False",3
"17",4,"Dirty Little Animals","BONES UK","False","The kind of bad that make you feel good","False",3
"18",4,"Dirty Little Animals","BONES UK","False","God, the kinda wrong that make you feel right","False",3
"19",4,"Dirty Little Animals","BONES UK","False","The little death that make you feel alive","False",3
"20",4,"Dirty Little Animals","BONES UK","False","The kinda shouldn't that mean that you should","False",3
"21",4,"Dirty Little Animals","BONES UK","False","","False",3
"22",4,"Dirty Little Animals","BONES UK","False","Dirty little animals","False",3
"23",4,"Dirty Little Animals","BONES UK","False","It makes your blood run hot","False",3
"24",4,"Dirty Little Animals","BONES UK","False","It makes your spit taste sweet","False",3
"25",4,"Dirty Little Animals","BONES UK","False","It makes you feel more alive","False",3
"26",4,"Dirty Little Animals","BONES UK","False","Than you have ever been","False",3
"27",4,"Dirty Little Animals","BONES UK","False","Throw it into your mouth","False",3
"28",4,"Dirty Little Animals","BONES UK","False","Gets stuck between your teeth","False",3
"29",4,"Dirty Little Animals","BONES UK","False","Why would you die up there","False",3
"30",4,"Dirty Little Animals","BONES UK","False","When you can live underneath","False",3
"31",4,"Dirty Little Animals","BONES UK","False","Dirty little animals","False",3
"32",4,"Dirty Little Animals","BONES UK","False","Beautiful cannibals","False",3
"33",4,"Dirty Little Animals","BONES UK","False","Slide, shake your bones out if you wanna ride","False",3
"34",4,"Dirty Little Animals","BONES UK","False","Throw your head back make you feel alive","False",3
"35",4,"Dirty Little Animals","BONES UK","False","The kind of bad that make you feel good","False",3
"36",4,"Dirty Little Animals","BONES UK","False","God, the kinda wrong that make you feel right","False",3
"37",4,"Dirty Little Animals","BONES UK","False","The little death that make you feel alive","False",3
"38",4,"Dirty Little Animals","BONES UK","False","The kinda shouldn't that mean that you should","False",3
"39",4,"Dirty Little Animals","BONES UK","False","","False",3
"40",4,"Dirty Little Animals","BONES UK","False","(Dirty little animals)","False",3
"41",4,"Dirty Little Animals","BONES UK","False","The kind of bad that make you feel good","False",3
"42",4,"Dirty Little Animals","BONES UK","False","(Dirty little animals)","False",3
"43",4,"Dirty Little Animals","BONES UK","False","The kinda shouldn't that mean that you should","False",3
"44",4,"Dirty Little Animals","BONES UK","False","","False",3
"45",4,"Dirty Little Animals","BONES UK","False","Novocain, never same, giving local luck","False",3
"46",4,"Dirty Little Animals","BONES UK","False","But when you go under you will never go back up","False",3
"47",4,"Dirty Little Animals","BONES UK","False","Novocain, never same, never goin' up","False",3
"48",4,"Dirty Little Animals","BONES UK","False","'Cause when you go under you will never go back up, up","False",3
"49",4,"Dirty Little Animals","BONES UK","False","Novocain, never same, never goin' up","False",3
"50",4,"Dirty Little Animals","BONES UK","False","'Cause when you go under you will never go back up","False",3
"51",4,"Dirty Little Animals","BONES UK","False","","False",3
"52",4,"Dirty Little Animals","BONES UK","False","Hey, what you say","False",3
"53",4,"Dirty Little Animals","BONES UK","False","Wanna find a place to play?","False",3
"54",4,"Dirty Little Animals","BONES UK","False","Hey, hey, what you say","False",3
"55",4,"Dirty Little Animals","BONES UK","False","Wanna find a place to play?","False",3
"56",4,"Dirty Little Animals","BONES UK","False","Slide, shake your bones out if you wanna ride","False",3
"57",4,"Dirty Little Animals","BONES UK","False","Throw your head back make you feel alive","False",3
"58",4,"Dirty Little Animals","BONES UK","False","The kind of bad that make you feel good","False",3
"59",4,"Dirty Little Animals","BONES UK","False","God, the kinda wrong that make you feel right","False",3
"60",4,"Dirty Little Animals","BONES UK","False","The little death that makes you feel alive","False",3
"61",4,"Dirty Little Animals","BONES UK","False","The kinda shouldn't that mean that you should","False",3
"62",4,"Dirty Little Animals","BONES UK","False","","False",3
"63",4,"Dirty Little Animals","BONES UK","False","Slide, shake your bones out if you wanna ride","False",3
"64",4,"Dirty Little Animals","BONES UK","False","Throw your head back make you feel alive","False",3
"65",4,"Dirty Little Animals","BONES UK","False","The kind of bad that make you feel good","False",3
"66",4,"Dirty Little Animals","BONES UK","False","God, the kinda wrong that make you feel right","False",3
"67",4,"Dirty Little Animals","BONES UK","False","The little death that makes you feel alive","False",3
"68",4,"Dirty Little Animals","BONES UK","False","The kinda shouldn't that mean that you shouldEmbedShare URLCopyEmbedCopy","False",3
