"","track_number","track_title","artists","instrumental","lyrics","hotness","Act"
"1",2,"Our Love","Curtis Harding","False","There's a girl in town and word's gone around she's just fine","False",1
"2",2,"Our Love","Curtis Harding","False","So I don't worry my head 'cause I know her heart is tied to mine","False",1
"3",2,"Our Love","Curtis Harding","False","The life that we live and the love that I give to her","False",1
"4",2,"Our Love","Curtis Harding","False","Each day it grows more and more I'm sure, it shows","False",1
"5",2,"Our Love","Curtis Harding","False","Well","False",1
"6",2,"Our Love","Curtis Harding","False","","False",1
"7",2,"Our Love","Curtis Harding","False","Our love, is a bubblin' fountain","False",1
"8",2,"Our Love","Curtis Harding","False","Our love, that flows into a sea","False",1
"9",2,"Our Love","Curtis Harding","False","Our love, deeper than any ocean","False",1
"10",2,"Our Love","Curtis Harding","False","Our love, for eternity","False",1
"11",2,"Our Love","Curtis Harding","False","","False",1
"12",2,"Our Love","Curtis Harding","False","Ooh, like someday I'll pray our love will always stay pure","False",1
"13",2,"Our Love","Curtis Harding","False","Ooh, when the world turns around, he holds me down for sure","False",1
"14",2,"Our Love","Curtis Harding","False","","False",1
"15",2,"Our Love","Curtis Harding","False","Our love, is a bubblin' fountain (Ooh-ah)","False",1
"16",2,"Our Love","Curtis Harding","False","Our lovе, that flows into any sea (Ooh)","False",1
"17",2,"Our Love","Curtis Harding","False","Our love, deeper than any ocеan","False",1
"18",2,"Our Love","Curtis Harding","False","Our love, for eternity","False",1
"19",2,"Our Love","Curtis Harding","False","","False",1
"20",2,"Our Love","Curtis Harding","False","And after all (After all)","False",1
"21",2,"Our Love","Curtis Harding","False","The rain will fall (Rain will fall)","False",1
"22",2,"Our Love","Curtis Harding","False","On us two","False",1
"23",2,"Our Love","Curtis Harding","False","But I'll keep movin' on (Movin' on)","False",1
"24",2,"Our Love","Curtis Harding","False","But I been strong with you","False",1
"25",2,"Our Love","Curtis Harding","False","Ooh","False",1
"26",2,"Our Love","Curtis Harding","False","Our love, is a bubblin' fountain (A bubblin' fountain, yeah)","False",1
"27",2,"Our Love","Curtis Harding","False","Our love, that flows into the sea (Flows into the sea)","False",1
"28",2,"Our Love","Curtis Harding","False","Our love, deeper than any ocean (Ooh-ooh, ooh-ooh)","False",1
"29",2,"Our Love","Curtis Harding","False","Our love, for eternity","False",1
"30",2,"Our Love","Curtis Harding","False","Well","False",1
"31",2,"Our Love","Curtis Harding","False","","False",1
"32",2,"Our Love","Curtis Harding","False","Our love","False",1
"33",2,"Our Love","Curtis Harding","False","Our love","False",1
"34",2,"Our Love","Curtis Harding","False","Our love","False",1
"35",2,"Our Love","Curtis Harding","False","Our loveEmbedShare URLCopyEmbedCopy","False",1
