region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Ionia,,0,0,0,Stun 2 enemies.,,"""Stand aside. I have come for the Unforgiven."" - Yone, Windchaser",Kudos Productions,Staggering Strikes,01IO056T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Ionia,,0,0,0,Recall 3 enemies.,,"""We go FLYING and next thing I know I'm flat on my back!"" - Navori Brigand",Kudos Productions,Skyward Strikes,01IO033T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,"To play, discard 1.

Give an ally +1|+0 this round.",,"""Yeah, his brother'd win one-on-one, but you see those axes spiraling... it's art, it is. Art."" - Arena regular",SIXMOREVODKA,Spinning Axe,01NX020T1,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Noxus,,0,0,0,"For each attacking ally on Vladimir's right, deal 1 to it and drain 1 from the enemy Nexus.",,"""Delicious."" - Vladimir",Max Grecke,Crimson Pact,01NX006T4,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,"For each attacking ally on Vladimir's right, deal 1 to it and 1 to the enemy Nexus.",,"""Delicious."" - Vladimir",Max Grecke,Crimson Pact,01NX006T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,Stun an enemy.,,It was not the kiss he had in mind.,Kudos Productions,Paralyzing Bite,01NX046T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,Deal 1 to the enemy Nexus.,,"""Boom."" - Legion Saboteur",Kudos Productions,Sabotage,01NX040T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Demacia,,0,0,0,"Deal 4 to an enemy. If there are no enemies, deal 4 to the enemy Nexus instead.",,"""I've hidden my light for my whole life. What would happen if they knew... if *I* knew what I could really do?"" - Lux",Kudos Productions,Final Spark,01DE042T3,Overwhelm,Fleeting,Slow,Slow,None,,Spell,FALSE,1,Foundations,
Piltover & Zaun,,0,0,1,,,"""TODAY I EMBARK UPON A NEW SCIENTIFIC ADVENTURE: AUTOMATONS! As the saying goes, it takes a great mind to create great things! Who said that, you ask? Why, ME!""
- Heimerdinger's Lab Notes, Preface",SIXMOREVODKA,Mk0: Windup Shredder,01PZ056T1,Challenger,NA,NA,,None,Tech,Unit,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Obliterate the top 5 cards of your deck to deal 1 to all enemies and the enemy Nexus for each spell obliterated.,,"""I told them that every achievement had its cost. I didn't tell them who would pay it."" - Corina Veraza",Kudos Productions,Magnum Opus,01PZ048T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 1 to your Nexus.,,"""Pop goes the puffcap, pop goes the puffcap,
Ow ow ow, ow ow ow!
Pop goes the puffcap, pop goes the puffcap,
Down we go, down we go!""
- Zaunite nursery rhyme",SIXMOREVODKA,Poison Puffcap,01PZ022,Trap,NA,NA,,None,,Trap,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 2 to the enemy Nexus.,,"""Time to go!"" - Boomcrew Rookie",Kudos Productions,Undermine,01PZ054T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Pick a follower. Transform me into an exact copy of it.,,Definitely not a pair of yordles in a suit.,Kudos Productions,Impersonate,01PZ030T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Discard your hand. Draw 3. Deal 3 to an enemy.,,"Progress, whatever the price.",Rafael Zanchetin,Reckless Research,01PZ013T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,"To play, spend all your mana.

Deal that much to a unit.",,"""We've exhausted both our time and funds, and though the beam works, we haven't been able to regulate its energy consumption."" - Zaunite experimenter",Max Grecke,Thermogenic Beam,01PZ027,Slow,NA,NA,Slow,Rare,,Spell,TRUE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 1 to all enemies.,,"""Let the show begin!"" - Chempunk Shredder",Max Grecke,Face-Melter,01PZ044T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,1,Last Breath: Deal 1 to EACH Nexus.,,"“I’d tell ya to wear a suit, but it gets muggy as a whump’s armpit down there. Gloves though, eh? An’ if you get that gunk on ya’, pray it don’t touch nothin’ important.” - Ziel, Zaunite foreman",SIXMOREVODKA,Caustic Cask,01PZ047,Last Breath,Ephemeral,NA,,Common,,Unit,TRUE,1,Foundations,
Freljord,,0,0,0,Deal 1 to all enemies and the enemy Nexus.,,The storm that comes before the calm.,SIXMOREVODKA,Glacial Storm,01FR024T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 2 to all enemies and the enemy Nexus.,,The storm that comes before the calm.,SIXMOREVODKA,Glacial Storm,01FR024T5,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 1 to ALL battling units.,,"""... Maybe not that gracefully after all."" - Tryndamere",Max Grecke,Tarkaz's Fury,01FR021T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Obliterate ALL followers with 4 or less Power in play and in hands.,,"“Unearthly light flooded the valley as a piercing wail rattled the rocks from the cliffs, my sinews from their bones, the very thoughts from my mind! Then... silence.” - Bjerg the Wanderer",Max Grecke,Balesight,01FR052T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 1 to an enemy.,,Gotcha.,Max Grecke,Bullseye,01FR036T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Shadow Isles,,0,0,0,Kill the 2 Weakest enemies if an ally died this round.,,Thin the herd.,Kudos Productions,Night Harvest,01SI035T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Shadow Isles,,0,0,0,"Deal damage to the enemy Nexus equal to half its Health, rounded up.",,"Half a blade for half a man. A weapon broken as its wielder's vow, broken as the king it was sworn to protect, broken as the kingdom of shadow that once was blessed.",Kudos Productions,Blade of Ledros,01SI033T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Shadow Isles,,3,0,2,"To play me, kill an ally.",,You are what you eat.,SIXMOREVODKA,Ravenous Butcher,01SI011,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,0,0,Pick a follower. Create an Ephemeral copy of it in hand.,,"For a moment, she remembered. Dappled sunlight dancing across her skin, plump dewberries bursting between her teeth, and the glade’s fragile melody drifting over her on the breeze. Then... it was gone.",Kudos Productions,Fading Memories,01SI047,Burst,NA,NA,Burst,Rare,,Spell,TRUE,1,Foundations,
Ionia,,0,1,0,Recall an ally.,,"The wise combatant knows not only tenacity, but restraint. A successful retreat guarantees a chance to fight a better fight.",Kudos Productions,Recall,01IO011,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Ionia,,1,1,1,,,"""This might sound crazy, but the last thing I remember was a... fuzzy sensation...?"" - Navori Brigand",SIXMOREVODKA,Nimble Poro,01IO005,Quick Attack,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Ionia,,2,1,1,Play: Grant an ally in hand +1|+0.,,"“Took years to cultivate this deadly physique! Tireless days of spotting birds, describing clouds, and lifting tray after tray of sweet buns! Who else has such dedication?”",SIXMOREVODKA,Inspiring Mentor,01IO026,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,4,1,3,,,"""What would you sacrifice for power? Your path begins with an oath, and ends only when it has taken all you have to give."" - Zed",SIXMOREVODKA,Shadow Fiend,01IO013,Ephemeral,NA,NA,,Common,,Unit,TRUE,1,Foundations,
