region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Bandle City,,0,0,0,Destroy an allied landmark to deal 3 to anything.,,"""... turns out, HE was a huge hexplosives fan, too!"" -  Ziggs",Kudos Productions,Inspection Passed!,05BC212T1,Slow ,Fleeting,NA,,None,,Spell,FALSE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,"Deal 1 to a unit. If you have 4+ allies, deal 2 instead.",,"""Okay, this one's for the newsletter. And remember to smile this time! One... two... three...!"" - Tristana",Kudos Productions,Group Shot,05BC198,Fast,NA,NA,,Common,,Spell,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,"When I’m summoned or destroyed, Stun the Keyword Strongest strongest enemy.",,"""What do you mean, 'this doesn't look safe'?"" - Ziggs",Kudos Productions,Hexplosive Minefield ,05BC027,Landmark,NA,NA,,Common,,Landmark,TRUE,5,Beyond The Bandlewood,
Bandle City,,2,1,1,"When I’m summoned, summon a Scrappy Bomb.",,"Giselle was one of Professor Heimerdinger's best students until she heard of Ziggs' strange experiments down in Zaun. Then it was all ""hexplosives"" this and ""could you recommend me for an internship"" that.",Kudos Productions,Inventive Chemist,05BC073,NA,NA,NA,,Common,Yordle,Unit,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,Countdown 3 or when I'm destroyed: Deal 1 to the enemy Nexus.,,"""It's a real work of art, isn't it!"" - Giselle, Inventive Chemist",Kudos Productions,Scrappy Bomb,05BC073T1,NA,NA,NA,,None,,Landmark,FALSE,5,Beyond The Bandlewood,
Bandle City,,1,1,1,"When I'm summoned, create a Prank in hand.",,"""Curious and playful, the otterpus are an immensely cheery bunch. Or is it otterpi? Say, didn't I pack a third sandwich?""
- Conchologist Ecological Entry, Day 7",Kudos Productions,Otterpus,05BC004,Attune,NA,NA,,Common,,Unit,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,Deal 1 to anything and plant 3 Poison Puffcaps on random cards in the enemy deck.,,"""Haha! Bullseye!"" -Teemo",Kudos Productions,Poison Dart,05BC164,Slow,NA,NA,,Common,,Spell,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,Grow an ally to 3|3 this round.,,"""I used to be like you–couldn't even lift a puffcap. But then, I found ""Shake: by Purpleberry."" It's got all the right stuff a yordle needs to go from zero to hero. So when you've had a hard workout, fuel up with 'Shake,' and become the buffest of bros, like me!""
- Printed Advertisement",Kudos Productions,Purpleberry Shake,05BC042,Burst,NA,NA,,Common,,Spell,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,Manifest an Otterpus or one of 2 spells from your regions that cost 3 or less.,,"""Unhand my sandwich this instant!"" - Conchologist",Kudos Productions,Trinket Trade,05BC040,Burst,NA,NA,Burst,Rare,,Spell,TRUE,5,Beyond The Bandlewood,
Bandle City,,2,1,1, Play: Create a Tiny Spear or a Tiny Shield in hand.,,"""My spear used to belong to a great hero, too... I made Poppy hold it for a minute!""",Kudos Productions,Yordle Squire,05BC145,NA,NA,NA,,Common,Yordle,Unit,TRUE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,Grant an ally +1|+0.,,"""A small spear is still a spear."" - Yordle saying, probably",Kudos Productions,Tiny Spear,05BC145T1,Focus,NA,NA,Focus,None,,Spell,FALSE,5,Beyond The Bandlewood,
Bandle City,,0,1,0,"Grant an ally +0|+1.
",,"""I found it! But you can use it!!"" - Yordle Squire
",Kudos Productions,Tiny Shield,05BC145T2,Focus,NA,NA,Focus,None,,Spell,FALSE,5,Beyond The Bandlewood,
Bandle City,,4,1,2,,,"""They say don't bite the hand that feeds--but by Bandle--they bit my hand AND anything else they could reach!""
- Conchologist Ecological Note, Day 13",Kudos Productions,Short Tooth,05BC010T1,Overwhelm,NA,NA,,None,,Unit,FALSE,5,Beyond The Bandlewood,
Bandle City,,1,2,2,Nexus Strike: Create a Hungry Owlcat in hand.,,"""Gunnin' in the streets and tuckin' kiddos into sheets!""",Wild Blue Studios,Bandle Comanndo,05BC167,Elusive,NA,NA,,Common,Yordle,Unit,TRUE,5,Beyond The Bandlewood,
