region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Bilgewater,,0,0,0,Obliterate an enemy with less Health than me.,,"""She swallowed me whole, me skiff and me soul,
So I'm singin' this song in her belly,
And now I must wait 'til I meet my fate,
In the Wing-Eared Sunken Lady."" - ""Ballad of the Wing-Eared Sunken Lady""",Kudos Productions,Devour,02BW056T1,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,"Deal 2 to a unit.

If it's dead or gone, deal 1 to the enemy Nexus instead.",,Gangplank's cruelty doesn't end with those who wrong him. To make an enemy of the Saltwater Scourge is to bring death upon everyone you hold dear.,Kudos Productions,Cannon Barrage,02BW028T1,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 to the enemy Nexus.,,"""Captain's orders: bullet to the face!"" - Crackshot Corsair",Kudos Productions,Crackshot,02BW060T1,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,1,"Powder Kegs stack.

All of your spells and skills deal 1 extra damage.

Destroy me when your spell or skill damages enemies or the enemy Nexus.",,"""Where there's a keg, there's a way."" - Bilgewater saying",Kudos Productions,Powder Keg,02BW032T1,Immobile,Vulnerable,NA,,None,,Unit,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 to all enemies and the enemy Nexus.,,"""Blow 'em to the depths!"" - Gangplank",Kudos Productions,Powderful Explosion,02BW032T4,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 three times to all battling enemies and the enemy Nexus.,,"Even if you fail to hear the bawdy cries of her crew, there's no way you'll miss her laughter...",Kudos Productions,Bullet Time,02BW022T4,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 to all battling enemies and the enemy Nexus.,,"""A little something to remember me by."" - Miss Fortune",Kudos Productions,Love Tap,02BW022T1,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 2 and Stun the strongest enemy.,,"""All that glitters..."" - Twisted Fate",Kudos Productions,Gold Card,02BW026T5,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,"Refill 1 spell mana.

Draw 1.",,"""Blue as the Serpentine."" - Twisted Fate",Kudos Productions,Blue Card,02BW026T2,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 to all enemies and the enemy Nexus.,,"""Somethin' for everyone."" - Twisted Fate",Kudos Productions,Red Card,02BW026T4,Skill,NA,NA,,None,,Ability,FALSE,2,Rising Tides,
Bilgewater,,0,0,0,Deal 1 to the enemy Nexus.,,"""Yer supposed to fire w' the rest of us, lad! That's what a salvo is!"" - Petty Officer",Kudos Productions,Warning Shot,02BW020,Burst,NA,NA,Burst,Common,,Spell,TRUE,2,Rising Tides,
Bilgewater,,2,1,1,,,"""MY GRATEST STRENF IS PREBABLE MY COMAND OF DA COMON PEEPUL AN ALSO APPARENLY MY SPELING IS RELLY GUD TO"" - Note scribbled in sand",Kudos Productions,Shellshocker ,02BW040,Attune,NA,NA,,Common,,Unit,TRUE,2,Rising Tides,
Bilgewater,,1,1,1,,,"""...and the idiot said I had hips that 'rolled like the waves'. I told him to cut the flattery, or I'd cut out his tongue.""",SIXMOREVODKA,Prowling Cutthroat,02BW013,Fearsome,Elusive,NA,,Common,,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,1,1,Last Breath: Deal 1 to the enemy Nexus.,,"""Mischievous little scamps, ain't they? More help than they seem, but word is they've got explosive tempers..."" - Syren deckhand",Kudos Productions,Powder Monkey,02BW034T1,Ephemeral,Last Breath,NA,,None,,Unit,FALSE,2,Rising Tides,
Bilgewater,,1,1,2,"When allies attack, deal 1 to the enemy Nexus.",,"""Being short gives you a surprising advantage in a fight. Turns out, nobody ever thinks to look down.""",SIXMOREVODKA,Crackshot Corsair,02BW060,NA,NA,NA,,Common,Yordle,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,1,2,Plunder: Grant me +1|+1.,,"Entry into the Jagged Hooks is a bloody affair. Sailors must prove they know their way around a ship, a fight, and a butcher's block. The most unsavory candidates hit all three marks in a single scrap.",Wild Blue Studios,Jagged Butcher,02BW058,NA,NA,NA,,Common,Pirate,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,1,1,"When I'm summoned, Toss 3.",,"It takes a special sort to make complete garbage of perfectly seaworthy gear. But if there's one thing they're good at, it's that. Just that.",Alex Heath,Dreg Dredgers,02BW047,NA,NA,NA,,Common,,Unit,TRUE,2,Rising Tides,
Bilgewater,,1,1,1,Plunder: Grant me 2 random keywords.,,"""His picture's been on the Bounty Board longer'n most, for he's a greedy, ruthless devil that won't let anyone or anything stand in his way. Worst of all? He's... He's cute, damn it."" - Gangplank",SIXMOREVODKA,Plunder Poro,02BW010,NA,NA,NA,,Common,"Poro, Pirate",Unit,TRUE,2,Rising Tides,
Bilgewater,,1,1,2,"When I'm summoned, draw 1 at the next Round Start and give it Fleeting.",,"""It don't make no sense to me. I was knocking 'em in easy, but the last one just... wouldn't go. Not my day, I s'pose..."" - Brash Gambler",Dao Le,Pool Shark,02BW009,NA,NA,NA,,Common,,Unit,TRUE,2,Rising Tides,
Bilgewater,,0,1,0,"Deal 1 to anything.

If this kills it, deal 1 to the enemy Nexus.

Create a Gangplank in your deck.",,"Gangplank's version of mediation is often brief, and always bloody.",Kudos Productions,Gangplank's Parrrley,02BW032T2,Slow,NA,NA,Slow,None,,Spell,FALSE,2,Rising Tides,
Bilgewater,Bandle City,2,1,1,"When you cast a spell, stop all enemy spells and skills targeting me and give me Elusive this round.",You've cast 6+ spells.,"Of all Bilgewater's legendary figures, Fizz is the most mercurial. Some sailors curse him for the countless brutal wrecks littering the coast...",SIXMOREVODKA,Fizz,02BW046,Imbue,NA,NA,,Champion,Yordle,Unit,TRUE,2,Rising Tides,0
Bilgewater,Bandle City,3,1,2,"When you cast a spell, stop all enemy spells and skills targeting me and give me Elusive this round.

Nexus Strike: Create a Chum the Waters in hand.",,...while others insist he's just a playful child who safeguards others on their journeys home.,SIXMOREVODKA,Fizz,02BW046T3,Imbue,NA,NA,,None,Yordle,Unit,FALSE,2,Rising Tides,1
Bilgewater,,0,1,0,"Deal 1 to anything.

If this kills it, deal 1 to the enemy Nexus.",,"Gangplank's version of mediation is often brief, and always bloody.",Kudos Productions,Parrrley,02BW018,Slow,NA,NA,Slow,Common,,Spell,TRUE,2,Rising Tides,
Bilgewater,,0,1,0,Summon a random 1 cost follower.,,"""Whatcha think, Baz? He don't look so tough.""
""Ya sure, Gav? He broke out of prison...""
""Means he's wily, not tough. Come on!"" - Baz and Gav, aspiring bounty hunters",Kudos Productions,Jailbreak,02BW048,Slow,NA,NA,Slow,Common,,Spell,TRUE,2,Rising Tides,
Bilgewater,,0,1,0,"Give an enemy Vulnerable this round. If it dies this round, draw 1.",,"""Keep yer chin up and yer spirits high, boy! If the cap'n sees ya saggin', he'll hoist ya up, cut y'open, an' feed ya to the gulls. Now, move yer arse!"" - Dreadway deckhand",Greg Faillace,Ye Been Warned,02BW001,Slow,NA,NA,Slow,Common,,Spell,TRUE,2,Rising Tides,
Bilgewater,,0,1,0,Toss 4.,,"""If it ain't worth its weight, it goes over. Same goes for you lot, 'n all. Now back ta work!"" - Petty Officer",Kudos Productions,Jettison,02BW044,Burst,NA,NA,Burst,Rare,,Spell,TRUE,2,Rising Tides,
Bilgewater,,1,2,2,"When I'm summoned, create in hand a random 1 cost spell from your regions.",,"Most shallows teem with all kinds of marine life, but none compare to the reefs of the Azure Way. The Way is a magical, otherworldly place, full of wonder.",Kudos Productions,Coral Creatures,02BW014,Attune,NA,NA,,Rare,,Unit,TRUE,2,Rising Tides,
Bilgewater,,3,2,2,Plunder: Grant 1 cost allies everywhere +1|+0.,,"Once she fires, the Hooks have to move fast. Blood in the water brings all manner of company... and none of it is welcome.",JiHun Lee,Jagged Taskmaster,02BW055,NA,NA,NA,,Epic,Pirate,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,2,2,"When I'm summoned, summon a Powder Keg.",,"""Aye, we could fight 'em at dawn, when their crew's awake and their cannons are primed. Or we could leave 'em a gift tonight, nice and quiet-like...""",Dao Le,Dreadway Deckhand,02BW004,NA,NA,NA,,Common,Pirate,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,2,3,"When I'm summoned, grant the strongest enemy Vulnerable.",,"""This your picture? Oof, you're even rougher on the eyes than advertised--let's hope your head's worth my while.""",SIXMOREVODKA,Hired Gun,02BW005,NA,NA,NA,,Common,Pirate,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,2,3,,,"Legends say a pale, horned whale once stole from the Bearded Lady. As punishment, the Lady covered the greedy creature in glittering gold, so it would forever tempt the avarice of others.",SIXMOREVODKA,Golden Narwhal,02BW036,Elusive,Vulnerable,NA,,Common,,Unit,TRUE,2,Rising Tides,
Bilgewater,,2,2,2,"When you draw an enemy card, reduce its cost by 1.

Plunder: Nab 1.",,"""If you want it, I've got it! Even got some 'special stock'.... Just remember, you didn't get it from me!""",SIXMOREVODKA,Black Market Merchant,02BW033,NA,NA,NA,,Rare,,Unit,TRUE,2,Rising Tides,
