region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Demacia,,0,0,0,"Deal 4 to an enemy. If there are no enemies, deal 4 to the enemy Nexus instead.",,"""I've hidden my light for my whole life. What would happen if they knew... if *I* knew what I could really do?"" - Lux",Kudos Productions,Final Spark,01DE042T3,Overwhelm,Fleeting,Slow,Slow,None,,Spell,FALSE,1,Foundations,
Demacia,,1,1,1,,,"""New recruit has the kind of endurance and courage shown by our finest soldiers. Will he make it to the Vanguard someday? He's... smaller than the rest, but we'll see."" - Vanguard Sergeant",SIXMOREVODKA,Plucky Poro,01DE049,Tough,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Demacia,,1,1,1,Last Breath: Create in hand a random 6+ cost spell from a region other than Demacia.,,"""Arcane items have undeniable intrigue. But these objects of power are best left to the capable hands of our experts, and away from the well-meaning ignorance of our citizens.""
- Mageseeker's Handbook",SIXMOREVODKA,Mageseeker Conservator,01DE024,Last Breath,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Demacia,,0,1,0,Give an ally +1|+1 this round.,,"""Undead fight like they've got no tomorrow. We'll make sure they won’t get one."" - Lucian

",Kudos Productions,Radiant Strike,01DE018,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Demacia,,2,1,2,,,"""Each night before bed, my mother would tell me stories of Demacia's greatest heroes as she sharpened her sword. My dreams were full of adventures, and today I'll begin a story all my own.""",SIXMOREVODKA,Cithria of Cloudfield,01DE039,NA,NA,NA,,Common,Elite,Unit,TRUE,1,Foundations,
Demacia,,2,1,1,"When you summon another ally, grant me Challenger.",,These relatives of the silverwing raptors have the predatory instincts of their cousins alongside a dogged unfamiliarity with their own comparatively diminutive size.,SIXMOREVODKA,Fleetfeather Tracker,01DE029,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Demacia,,0,1,0,Grant an ally Tough.,,Demacian steel is known throughout the world for its superior strength. Its forging requires smiths of equal strength and repute.,Kudos Productions,Chain Vest,01DE013,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Demacia,,3,2,2,,I've seen 4+ allies or an allied Senna die.,"""I'll be alright, Senna, long as I've got you.""",SIXMOREVODKA,Lucian,01DE022,Quick Attack,NA,NA,,Champion,Sentinel,Unit,TRUE,1,Foundations,0
Demacia,,2,2,2,,,"""We didn't know who or what those creatures were. But we knew the faces of our fellow soldiers by our sides, and that was all we needed.""",SIXMOREVODKA,Vanguard Defender,01DE020,Tough,NA,NA,,Common,Elite,Unit,TRUE,1,Foundations,
Demacia,,2,2,2,"When you summon an Elite, grant it +1|+1.",,Wars are won in the forge.,SIXMOREVODKA,Battlesmith,01DE034,NA,NA,NA,,Rare,,Unit,TRUE,1,Foundations,
Demacia,,4,2,3,"Each round, the first time an ally dies, Rally.",,"""World's full of monsters. If you're lucky, they're the ones you can see. The worst are the ones that stay under your skin.""",SIXMOREVODKA,Lucian,01DE022T1,Double Attack,NA,NA,,None,Sentinel,Unit,FALSE,1,Foundations,1
Demacia,,2,2,2,Support: Give my supported ally +1|+1 this round.,,No one in the Demacian army should be trifled with.,SIXMOREVODKA,War Chefs,01DE043,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Demacia,,1,2,4,,,Just because it's quiet doesn't mean it's safe.,SIXMOREVODKA,Vanguard Lookout,01DE046,NA,NA,NA,,Common,Elite,Unit,TRUE,1,Foundations,
Demacia,,0,2,0,Silence a follower.,,"""Your petricite Graymark is your primary safeguard against magic, a symbol of our responsibilities, and a reminder to others of our authority. Honor it above all else.""
- The Mageseekers' Handbook",Kudos Productions,Purify,01DE050,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Demacia,,3,2,2,Grant me +1|+1 and Challenger once you've cast a 6+ cost spell this game.,,"""Citizens of Demacia, it is my honor to keep you safe. But we must demand your unwavering support, for even within our high walls, mages still walk among us!""
",SIXMOREVODKA,Mageseeker Persuader,01DE040,NA,NA,NA,,Rare,,Unit,TRUE,1,Foundations,
