region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Freljord,,0,0,0,Deal 1 to all enemies and the enemy Nexus.,,The storm that comes before the calm.,SIXMOREVODKA,Glacial Storm,01FR024T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 2 to all enemies and the enemy Nexus.,,The storm that comes before the calm.,SIXMOREVODKA,Glacial Storm,01FR024T5,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 1 to ALL battling units.,,"""... Maybe not that gracefully after all."" - Tryndamere",Max Grecke,Tarkaz's Fury,01FR021T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Obliterate ALL followers with 4 or less Power in play and in hands.,,"“Unearthly light flooded the valley as a piercing wail rattled the rocks from the cliffs, my sinews from their bones, the very thoughts from my mind! Then... silence.” - Bjerg the Wanderer",Max Grecke,Balesight,01FR052T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,0,0,Deal 1 to an enemy.,,Gotcha.,Max Grecke,Bullseye,01FR036T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Freljord,,0,1,1,,"Round Start: If you're Enlightened, transform me back into Anivia and Level Up.","In the depths of winter's cold embrace, the Freljord's guardian awaits the hour of her return.",SIXMOREVODKA,Eggnivia,01FR024T4,NA,NA,NA,,None,,Unit,FALSE,1,Foundations,
Freljord,,1,1,1,"When I'm summoned, grant the top 2 allies in your deck +1|+1.",,"""Three times our reavers reached Avarosan gates, and three time they were met with ready bows. What trickery warns them of our attacks?"" - Scarthane Steffen",SIXMOREVODKA,Omen Hawk,01FR022,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Freljord,,1,1,1,"When I'm summoned, create another random 1 cost Poro in hand.",,"""A lifetime in the Freljord, and still nothin's more chillin' than the sight of this sad little fellow."" - Poro Herder",SIXMOREVODKA,Lonely Poro,01FR008,NA,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Freljord,,1,1,1,"When I'm summoned, create another random 1 cost Poro in hand.",,"""Oho, there's a good lad! Even the coldest winter melts into spring."" - Poro Herder",SIXMOREVODKA,Jubilant Poro,01FR008T1,NA,NA,NA,,None,Poro,Unit,FALSE,1,Foundations,
Freljord,,0,1,3,"When I survive damage, grant me +3|+0.",,"""Avarosans nurture their young to grow old, soft, and unprepared for the heat of battle. Ours are born in the fires of war itself."" - Scarmother Vrynna
",SIXMOREVODKA,Unscarred Reaver,01FR035,NA,NA,NA,,Common,Winter's Claw,Unit,TRUE,1,Foundations,
Freljord,,5,1,5,,,Yetis? I just don't think they exi--AUGHHH!,SIXMOREVODKA,Enraged Yeti,01FR028,NA,NA,NA,,None,Yeti,Unit,FALSE,1,Foundations,
Freljord,,1,1,2,Last Breath: Create 2 Enraged Yetis in your deck.,,"""It was so tiny and peaceful! Hard to believe it would grow up to be... well... a yeti."" - Avarosan Trapper",SIXMOREVODKA,Yeti Yearling,01FR014,Last Breath,NA,NA,,Common,Yeti,Unit,TRUE,1,Foundations,
