region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Ionia,,0,0,0,Stun 2 enemies.,,"""Stand aside. I have come for the Unforgiven."" - Yone, Windchaser",Kudos Productions,Staggering Strikes,01IO056T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Ionia,,0,0,0,Recall 3 enemies.,,"""We go FLYING and next thing I know I'm flat on my back!"" - Navori Brigand",Kudos Productions,Skyward Strikes,01IO033T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Ionia,,0,1,0,Recall an ally.,,"The wise combatant knows not only tenacity, but restraint. A successful retreat guarantees a chance to fight a better fight.",Kudos Productions,Recall,01IO011,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Ionia,,1,1,1,,,"""This might sound crazy, but the last thing I remember was a... fuzzy sensation...?"" - Navori Brigand",SIXMOREVODKA,Nimble Poro,01IO005,Quick Attack,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Ionia,,2,1,1,Play: Grant an ally in hand +1|+0.,,"“Took years to cultivate this deadly physique! Tireless days of spotting birds, describing clouds, and lifting tray after tray of sweet buns! Who else has such dedication?”",SIXMOREVODKA,Inspiring Mentor,01IO026,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,4,1,3,,,"""What would you sacrifice for power? Your path begins with an oath, and ends only when it has taken all you have to give."" - Zed",SIXMOREVODKA,Shadow Fiend,01IO013,Ephemeral,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,0,1,0,Give an ally +1|+0 and Quick Attack this round.,,Combat is merely a race to take the life of another before they take yours.,Kudos Productions,Rush,01IO018,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Ionia,,0,1,0,Give an ally Elusive this round.,,"""Stay hidden, and do not return until your task is finished."" - Zed",Kudos Productions,Ghost,01IO022,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Ionia,,2,1,1,"When I'm summoned, give me Elusive this round.",,"""I'll get the drop on him, no problem. Get me outta there and I'll split the loot with you, make it more than worth your while!""",SIXMOREVODKA,Navori Bladescout,01IO017,NA,NA,NA,,Common,Yordle,Unit,TRUE,1,Foundations,
Ionia,,1,1,1,"When you summon an ally, give me +1|+1 this round.",,"""What's the point of fighting if there's no one to see your moves?""",SIXMOREVODKA,Sparring Student,01IO042,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,0,1,0,Heal an ally or your Nexus 3.,,"Every generation, region, and family has its own home remedy--though some are undeniably more effective than others.",Kudos Productions,Health Potion,01IO004,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Ionia,,1,1,2,"When an ally gets Barrier, grant me +2|+0.",,"""The glade protects its own. And you--you are not from here...""",SIXMOREVODKA,Greenglade Caretaker,01IO019,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,0,2,0,Give an ally +3|+0 or +0|+3 this round.,,"""Never fear change. It will question you, test your limits. It is our greatest teacher."" - Karma",SIXMOREVODKA,Twin Disciplines,01IO012,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Ionia,,0,2,0,Give an ally +0|+3 this round.,,,SIXMOREVODKA,Discipline of Fortitude,01IO012T2,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Ionia,,0,2,0,Give an ally +3|+0 this round.,,,SIXMOREVODKA,Discipline of Force,01IO012T1,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Ionia,,0,2,0,"Stun an attacking enemy.

Create a Yasuo in your deck.",,"""Hasagi!"" - Yasuo",Max Grecke,Yasuo's Steel Tempest,01IO015T2,Fast,NA,NA,Fast,None,,Spell,FALSE,1,Foundations,
Ionia,,2,2,3,"When I'm summoned, give other allies +1|+0 this round.",,"""On this day, yours will become the face of discipline, training, humility, and balance. Today, you become Kinkou.""",SIXMOREVODKA,Keeper of Masks,01IO020,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,2,2,2,Support: Give my supported ally Lifesteal this round.,,"""During winter's reign, we heard the tread of
Footsteps 'cross the snowy floor. 
In its wake, new vine and leaf emerged to rearrange
The forest floor and herald season's change.""
- Shon-Xan poem",SIXMOREVODKA,Herald of Spring,01IO045,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,1,2,3,"When you Stun or Recall a unit, grant me +2|+0.",,"""Oh, so you think I'm 'cute'? 'Fuzzy'?? Let's see how 'adorable' you find THIS!""",SIXMOREVODKA,Fae Bladetwirler,01IO008,Quick Attack,NA,NA,,Rare,Yordle,Unit,TRUE,1,Foundations,
Ionia,,0,2,0,"Create in hand another random spell from your regions.

Enlightened: Create 2 instead.

Create a Karma in your deck.",,"“When your hope wavers, know that you are never alone. The past is always by our side. It has known myriad tomorrows and all the hope that they bring.” - Karma",Kudos Productions,Karma's Insight of Ages,01IO041T2,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Ionia,,2,2,2,"To play me, Recall an ally.",,"""C'mon, we gotta get out of here! My name? I'll explain on the way, I promise....""",SIXMOREVODKA,Navori Conspirator,01IO044,Elusive,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,0,2,0,Grant all allies in hand +1|+0.,,"""Not just seeds, younglings. The legacy of the land itself, promises for our prosperous future."" - Karma",Wild Blue Studios,Sown Seeds,01IO029,Burst,NA,NA,Burst,Rare,,Spell,TRUE,1,Foundations,
Ionia,,2,2,2,Strike: Reduce the cost of the most expensive unit in your hand by 1.,,"""Patrol, we've one... no... TWO massive furry creatures coming our way! Call for ba--Oh. Hold on. Scope's wrong way 'round again...""",SIXMOREVODKA,Greenglade Lookout,01IO036,NA,NA,NA,,Common,Yordle,Unit,TRUE,1,Foundations,
Ionia,,0,2,0,"Create in hand another random spell from your regions.

Enlightened: Create 2 instead.",,"“When your hope wavers, know that you are never alone. The past is always by our side. It has known myriad tomorrows and all the hope that they bring.” - Karma",Kudos Productions,Insight of Ages,01IO054,Burst,NA,NA,Burst,Rare,,Spell,TRUE,1,Foundations,
Ionia,,3,2,1,Nexus Strike: Create a copy of me in hand.,,"""Flesh is untrustworthy. Fragile. Delicate as the borders between light and shadow.""",SIXMOREVODKA,Silent Shadowseer,01IO027,Elusive,Ephemeral,NA,,Epic,,Unit,TRUE,1,Foundations,
Ionia,,2,2,1,"When you summon an ally, give me +1|+0 this round.",,"""Hey, watch those branches! Left, LEFT!"" 
""When I'm on YOUR shoulders, Fuzzball, we can go wherever you want. 'Til then, I got this!""",SIXMOREVODKA,Greenglade Duo,01IO006,Elusive,NA,NA,,Rare,,Unit,TRUE,1,Foundations,
Ionia,,1,2,2,"When I'm summoned, summon a Navori Brigand with my stats.",,"“I was a traveling musician, known in every village 'ere to the Placidium--until the Noxians came. Now I'm scraping by on stolen coin. Mother was right, should've been a healer... ”",SIXMOREVODKA,Navori Highwayman,01IO052,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Ionia,,1,2,2,,,A bandit on the road means more in the brush.,SIXMOREVODKA,Navori Brigand,01IO052T1,NA,NA,NA,,None,,Unit,FALSE,1,Foundations,
Ionia,,0,2,0,Stun an attacking enemy.,,"""Hasagi!"" - Yasuo",Max Grecke,Steel Tempest,01IO046,Fast,NA,NA,Fast,Rare,,Spell,TRUE,1,Foundations,
Ionia,,0,2,0,"Grant Barrier to an ally in hand. 

Draw 1.",,"""Those who keep the balance shall know the protection of the Kinkou."" - Shen
",Kudos Productions,Ki Guardian,01IO055,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
