region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Noxus,,0,0,0,"To play, discard 1.

Give an ally +1|+0 this round.",,"""Yeah, his brother'd win one-on-one, but you see those axes spiraling... it's art, it is. Art."" - Arena regular",SIXMOREVODKA,Spinning Axe,01NX020T1,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Noxus,,0,0,0,"For each attacking ally on Vladimir's right, deal 1 to it and drain 1 from the enemy Nexus.",,"""Delicious."" - Vladimir",Max Grecke,Crimson Pact,01NX006T4,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,"For each attacking ally on Vladimir's right, deal 1 to it and 1 to the enemy Nexus.",,"""Delicious."" - Vladimir",Max Grecke,Crimson Pact,01NX006T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,Stun an enemy.,,It was not the kiss he had in mind.,Kudos Productions,Paralyzing Bite,01NX046T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,0,0,0,Deal 1 to the enemy Nexus.,,"""Boom."" - Legion Saboteur",Kudos Productions,Sabotage,01NX040T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Noxus,,2,1,1,Attack: Deal 1 to the enemy Nexus.,,"""Our Shieldbreakers can split a man in two. But the Legion has other talents at its disposal when it requires a more... discreet touch."" - Swain",SIXMOREVODKA,Legion Saboteur,01NX040,NA,NA,NA,,Common,Might,Unit,TRUE,1,Foundations,
Noxus,,3,1,2,,,"In Noxus, where soldiers are revered for their audacity on the battlefield, rearguard duty is nothing short of a punishment.",SIXMOREVODKA,Legion Rearguard,01NX012,Can't Block,NA,NA,,Common,Might,Unit,TRUE,1,Foundations,
Noxus,,0,1,0,Deal 1 to anything.,,"""In the right hands, a blade can cut through anything... and I do mean anything."" - Katarina",SIXMOREVODKA,Blade's Edge,01NX043,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Noxus,,2,1,1,,,She loves them all. She just loves this one more.,SIXMOREVODKA,Precious Pet,01NX015,Fearsome,NA,NA,,Common,Spider,Unit,TRUE,1,Foundations,
Noxus,,1,1,1,,,"""Noxus has no room for... for weakn--Will someone get this DAMNED THING OFF ME?!"" - Darius",SIXMOREVODKA,Affectionate Poro,01NX034,Challenger,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Noxus,,2,1,1,"When I'm summoned, move Draven to the top of your deck if you don't have him in hand or in play.",,"""You want an autograph? Get... Get in line, pal!""",SIXMOREVODKA,Draven's Biggest Fan,01NX035,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Noxus,,0,1,0,Give an ally +3|+0 this round.,,"""When the open hand is declined, there's always the fist.""
- Noxian axiom",Kudos Productions,Elixir of Wrath,01NX027,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Noxus,,0,1,0,Stun an enemy.,,"""Allow your enemies enough rope to hang themselves and you'll save yourself the effort."" - LeBlanc",Kudos Productions,Guile,01NX049,Slow,NA,NA,Slow,Common,,Spell,TRUE,1,Foundations,
Noxus,,0,2,0,"Deal 1 to an ally and give another ally +2|+2 this round.

Create a Vladimir in your deck.",,"""It's give and take, my dear. You give, and I take."" - Vladimir",SIXMOREVODKA,Vladimir's Transfusion,01NX006T3,Burst,NA,NA,Burst,None,,Spell,FALSE,1,Foundations,
Noxus,,0,2,0,Deal 1 to an ally to give another ally +2|+2 this round.,,"""It's give and take, my dear. You give, and I take."" - Vladimir",SIXMOREVODKA,Transfusion,01NX047,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
