region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Piltover & Zaun,,0,0,1,,,"""TODAY I EMBARK UPON A NEW SCIENTIFIC ADVENTURE: AUTOMATONS! As the saying goes, it takes a great mind to create great things! Who said that, you ask? Why, ME!""
- Heimerdinger's Lab Notes, Preface",SIXMOREVODKA,Mk0: Windup Shredder,01PZ056T1,Challenger,NA,NA,,None,Tech,Unit,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Obliterate the top 5 cards of your deck to deal 1 to all enemies and the enemy Nexus for each spell obliterated.,,"""I told them that every achievement had its cost. I didn't tell them who would pay it."" - Corina Veraza",Kudos Productions,Magnum Opus,01PZ048T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 1 to your Nexus.,,"""Pop goes the puffcap, pop goes the puffcap,
Ow ow ow, ow ow ow!
Pop goes the puffcap, pop goes the puffcap,
Down we go, down we go!""
- Zaunite nursery rhyme",SIXMOREVODKA,Poison Puffcap,01PZ022,Trap,NA,NA,,None,,Trap,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 2 to the enemy Nexus.,,"""Time to go!"" - Boomcrew Rookie",Kudos Productions,Undermine,01PZ054T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Pick a follower. Transform me into an exact copy of it.,,Definitely not a pair of yordles in a suit.,Kudos Productions,Impersonate,01PZ030T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,Discard your hand. Draw 3. Deal 3 to an enemy.,,"Progress, whatever the price.",Rafael Zanchetin,Reckless Research,01PZ013T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,0,"To play, spend all your mana.

Deal that much to a unit.",,"""We've exhausted both our time and funds, and though the beam works, we haven't been able to regulate its energy consumption."" - Zaunite experimenter",Max Grecke,Thermogenic Beam,01PZ027,Slow,NA,NA,Slow,Rare,,Spell,TRUE,1,Foundations,
Piltover & Zaun,,0,0,0,Deal 1 to all enemies.,,"""Let the show begin!"" - Chempunk Shredder",Max Grecke,Face-Melter,01PZ044T2,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Piltover & Zaun,,0,0,1,Last Breath: Deal 1 to EACH Nexus.,,"“I’d tell ya to wear a suit, but it gets muggy as a whump’s armpit down there. Gloves though, eh? An’ if you get that gunk on ya’, pray it don’t touch nothin’ important.” - Ziel, Zaunite foreman",SIXMOREVODKA,Caustic Cask,01PZ047,Last Breath,Ephemeral,NA,,Common,,Unit,TRUE,1,Foundations,
Piltover & Zaun,,0,1,0,Deal 4 to the enemy nexus and 1 to all enemies.,,"""See ya!"" - Jinx",Ben Skutt,Super Mega Death Rocket!,01PZ040T2,Slow,Fleeting,NA,Slow,None,,Spell,FALSE,1,Foundations,
