region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Shadow Isles,,0,0,0,Kill the 2 Weakest enemies if an ally died this round.,,Thin the herd.,Kudos Productions,Night Harvest,01SI035T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Shadow Isles,,0,0,0,"Deal damage to the enemy Nexus equal to half its Health, rounded up.",,"Half a blade for half a man. A weapon broken as its wielder's vow, broken as the king it was sworn to protect, broken as the kingdom of shadow that once was blessed.",Kudos Productions,Blade of Ledros,01SI033T1,Skill,NA,NA,,None,,Ability,FALSE,1,Foundations,
Shadow Isles,,3,0,2,"To play me, kill an ally.",,You are what you eat.,SIXMOREVODKA,Ravenous Butcher,01SI011,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,0,0,Pick a follower. Create an Ephemeral copy of it in hand.,,"For a moment, she remembered. Dappled sunlight dancing across her skin, plump dewberries bursting between her teeth, and the glade’s fragile melody drifting over her on the breeze. Then... it was gone.",Kudos Productions,Fading Memories,01SI047,Burst,NA,NA,Burst,Rare,,Spell,TRUE,1,Foundations,
Shadow Isles,,0,1,0,"If an ally died this round, summon 2 Spiderlings.

Create an Elise in your deck.",,That creeping feeling on your skin isn't nearly as unsettling as the one underneath it.,Kudos Productions,Elise's Crawling Sensation,01SI053T1,Slow,NA,NA,Slow,None,,Spell,FALSE,1,Foundations,
Shadow Isles,,1,1,1,,,"""What are you afraid of? It's just ONE little spider."" - Lord Sassen, Hapless Aristocrat",SIXMOREVODKA,Spiderling,01SI002,NA,NA,NA,,None,Spider,Unit,FALSE,1,Foundations,
Shadow Isles,,1,1,1,,,"I mean, there are worse ways to die.",SIXMOREVODKA,Sinister Poro,01SI037,Fearsome,NA,NA,,Common,Poro,Unit,TRUE,1,Foundations,
Shadow Isles,,0,1,0,Drain 4 from an ally.,,"""What kills you only makes me stronger."" - Thresh",Kudos Productions,Absorb Soul,01SI045,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,0,1,0,"If an ally died this round, summon 2 Spiderlings.",,That creeping feeling on your skin isn't nearly as unsettling as the one underneath it.,Kudos Productions,Crawling Sensation,01SI036,Slow,NA,NA,Slow,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,2,1,1,Play: Grant an ally in hand Ephemeral and reduce its cost by 1.,,"Oh, the poor lad...",SIXMOREVODKA,Oblivious Islander,01SI012,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,1,1,1,Last Breath: Summon a Spiderling.,,"""L-Lady Elise? Where... where did you go?""",SIXMOREVODKA,Hapless Aristocrat,01SI043,Last Breath,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,1,1,1,,,...each spirit another victim of the relic's allure. They seethe in silence as they await the arrival of the next greedy fool.,SIXMOREVODKA,Unleashed Spirit,01SI007T1,Ephemeral,NA,NA,,None,,Unit,FALSE,1,Foundations,
Shadow Isles,,0,1,0,Grant an ally +2|+2 and Ephemeral.,,"Power, but at what cost?",Kudos Productions,Mark of the Isles,01SI022,Burst,NA,NA,Burst,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,1,1,1,Last Breath: Create in hand another random Last Breath follower that costs 3 or less.,,"He held his breath as best he could, praying the warden would move on. Little did he know, this pursuit would just be the beginning of Thresh's delighted torments…",SIXMOREVODKA,Warden's Prey,01SI026,Last Breath,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,2,0,Kill an ally to draw 2.,,"""I have erred. We were not meant to peer beyond the pale curtain. Whatever insight lingers there comes at far too great a cost."" - Arie Wrence, Dauntless vindicator",Kudos Productions,Glimpse Beyond,01SI049,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,2,2,3,Attack: Summon an attacking Spiderling.,Round Start: You have 3+ other Spiders.,"Once the head of a powerful Noxian house, Elise's dark ties to the Shadow Isles granted her unnatural youth and beauty in exchange for a few unwitting souls offered in sacrifice. An easy decision.",SIXMOREVODKA,Elise,01SI053,Fearsome,NA,NA,,Champion,Spider,Unit,TRUE,1,Foundations,0
Shadow Isles,,4,2,3,Other Spider allies have Challenger and Fearsome.,,Beauty is in the many eyes of the beholder.,SIXMOREVODKA,Spider Queen Elise,01SI053T2,Fearsome,Challenger,NA,,None,Spider,Unit,FALSE,1,Foundations,1
Shadow Isles,,2,2,3,"When you summon an Ephemeral ally, grant it +1|+1.",,Only the fallen knew that she did not walk alone. Only they could see the countless companions she led down the path to lands beyond.,SIXMOREVODKA,Soul Shepherd,01SI023,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,2,0,Summon 2 Spectral Riders.,,They live now as they died then: loyal 'til the very end.,Kudos Productions,Onslaught of Shadows,01SI010,Slow,NA,NA,Slow,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,0,2,0,"Summon 2 Spectral Riders.

Create a Hecarim in your deck.",,They live now as they died then: loyal 'til the very end.,Kudos Productions,Hecarim's Onslaught of Shadows,01SI042T2,Slow,NA,NA,Slow,None,,Spell,FALSE,1,Foundations,
Shadow Isles,,1,2,1,Last Breath: Summon an Escaped Abomination.,,Madness and time. Never was there a more terrible pair.,SIXMOREVODKA,Cursed Keeper,01SI048,Can't Block,Last Breath,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,2,2,2,,,"No longer bound by flesh, rider and beast became one, determined to race mindlessly into battles they no longer understood.",SIXMOREVODKA,Spectral Rider,01SI024,Ephemeral,NA,NA,,None,,Unit,FALSE,1,Foundations,
Shadow Isles,,4,2,2,,,"Time may have stopped, but madness remains. ",SIXMOREVODKA,Escaped Abomination,01SI048T1,NA,NA,NA,,None,,Unit,FALSE,1,Foundations,
Shadow Isles,,3,2,2,Support: Grant my supported ally +2|+0 and Ephemeral.,,Some look at the Ruination and only see the destruction and misery. Others see the glass half full.,SIXMOREVODKA,Stirred Spirits,01SI009,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,2,0,Summon 3 Unleashed Spirits.,,"These ancient artifacts are treasured both by the living hungry to claim them, and the dead desperate to retain them.",Kudos Productions,Haunted Relic,01SI007,Slow,NA,NA,Slow,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,2,2,2,"When I'm summoned, grant other allied Mistwraiths everywhere +1|+0.",,"These specters of the Isles shed their identities long ago to become amalgamations of pure, unappeasable hunger.",SIXMOREVODKA,Mistwraith,01SI014,Fearsome,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,3,2,1,"Last Breath: The next time an Ephemeral ally attacks, revive me attacking.",,"""She saw what? I see. Madness is a cruel mistress, apothecary. At least the others make some degree of sense."" - Demacian surgeon",SIXMOREVODKA,Shark Chariot,01SI021,Can't Block,Ephemeral,Last Breath,,Rare,,Unit,TRUE,1,Foundations,
Shadow Isles,,3,2,2,,,"Some malevolent spirits take inspiration from local fauna, twisting the familiar into the nightmarish.",SIXMOREVODKA,Arachnoid Horror,01SI039,Fearsome,NA,NA,,Common,Spider,Unit,TRUE,1,Foundations,
Shadow Isles,,0,2,0,Drain 1 from a unit to summon a Spiderling.,,"""My... my lady! I didn't realize you were such an... an arachnophile! Could you perhaps call them away from me? L-Lady Elise? Please?"" - Lord Sassen, Hapless Aristocrat",Kudos Productions,Vile Feast,01SI040,Fast,NA,NA,Fast,Common,,Spell,TRUE,1,Foundations,
Shadow Isles,,0,3,3,"When another ally dies, deal 1 to the enemy Nexus.",,"Her cruelest trick wasn't slaughtering the soldiers who trusted the cries of a little girl, but sowing doubt in the survivors who returned home and ignored the pleas of their daughters.",SIXMOREVODKA,Phantom Prankster,01SI038,NA,NA,NA,,Rare,,Unit,TRUE,1,Foundations,
Shadow Isles,,0,3,0,"If 3+ allies have died this round, summon Vilemaw.

",,"""Kneel before your fanged god. Better yet, die before it."" - Elise",Kudos Productions,Fresh Offerings,01SI027,Slow,NA,NA,Slow,Rare,,Spell,TRUE,1,Foundations,
Shadow Isles,,6,3,6,,,"""Who is your god? What can your god do? Will he let you wither and die defending him? Or will he give you life and vitality like no mortal has ever known? Why serve a god who won't serve you?"" - Elise",SIXMOREVODKA,Vilemaw,01SI027T1,Fearsome,NA,NA,,None,Spider,Unit,FALSE,1,Foundations,
Shadow Isles,,2,3,3,"When I'm summoned, create a copy in hand of an ally that died this game.",,"""Little did our author know that soon the Ruinatio--the Ruin--no, no, no, that's not right, the ink's spilled again! Little did our author--no, no, no!""",SIXMOREVODKA,Scribe of Sorrows,01SI018,NA,NA,NA,,Common,,Unit,TRUE,1,Foundations,
Shadow Isles,,4,3,3,,I've seen 3+ allies die.,"In life, she was a general, a protector, a hero. But as flesh gave way, she was left with naught but the blazing fires of retribution--an undying spirit of vengeance.",SIXMOREVODKA,Kalista,01SI030,Fearsome,NA,NA,,Champion,,Unit,TRUE,1,Foundations,0
Shadow Isles,,5,3,4,"Each round, the first time I attack revive an attacking Ephemeral copy of the strongest dead allied follower. This round, we're bonded and it takes damage for me.",,"""The wronged shall have their vengeance!""",SIXMOREVODKA,Kalista,01SI030T2,Fearsome,NA,NA,,None,,Unit,FALSE,1,Foundations,1
Shadow Isles,,0,3,0,"If an ally died this round, deal 4 to a unit.

Create a Kalista in your deck.",,"""Our spear sings for the fallen."" - Kalista",Wild Blue Studios,Kalista's Black Spear,01SI030T1,Fast,NA,NA,Fast,None,,Spell,FALSE,1,Foundations,
