region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Shurima,,0,0,0,"Destroy a landmark. If it's allied, summon a Grumpy Rockbear.",,"""Kadira broke something today! Again! It was just a stone wall this time, but it looked old and was probably important to someone's ancestor. Her excuse is that walls are built better in Tereshni, but still! I am very cross.""
- Zaifa's diary",Kudos Productions,Teen Spirit,04SH089T1,Skill,NA,NA,,None,,Ability,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,"Deal 2 to Taliyah's blocker. If it's dead or gone, deal 2 to the enemy Nexus instead.",,"""Throw another rock!"" - Taliyah",Kudos Productions,Threaded Volley,04SH073T1,Skill,NA,NA,,None,,Ability,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Deal 2 to enemies and the enemy Nexus.,,"""I will spare no one!"" - Renekton",Kudos Productions,Dominus Destruction,04SH067T5,Skill,NA,NA,,None,,Ability,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Fearsome,,"""Yeah, you better be afraid."" - Sivir",Kudos Productions,Lucky Find,04SH098T3,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Overwhelm,,"""If I can't get past you, I'll just go through you."" - Sivir",Kudos Productions,Lucky Find,04SH098T12,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Quick Attack,,"""Quick as a flash."" - Sivir",Kudos Productions,Lucky Find,04SH098T7,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,+1|+1,,"""The best just got better."" - Sivir",Kudos Productions,Lucky Find,04SH098T6,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Challenger,,"""Try turning me down."" - Sivir",Kudos Productions,Lucky Find,04SH098T2,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Tough,,"""Can't spend your earnings if you're dead."" - Sivir",Kudos Productions,Lucky Find,04SH098T10,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,+2|+0,,"""Let's cut 'em down to size."" - Sivir",Kudos Productions,Lucky Find,04SH098T5,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,+0|+2,,"""Go on. Gimme your best shot. Then it's my turn."" - Sivir",Kudos Productions,Lucky Find,04SH098T8,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,SpellShield,,"""Your tricks ain't worth the sand you're standing on, kid."" - Sivir",Kudos Productions,Lucky Find,04SH098T1,Focus,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Pick a buff from among 3 to grant an ally.,,"""Nothin' better than a payday."" - Sivir",Kudos Productions,Lucky Find,04SH098,Fleeting,Focus,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Rampaging Baccai and an enemy strike each other.,,"The baccai are twisted, warped versions of what they might have been - had they become part of the Ascended Host - and the rage they feel at their failure must be unleashed somewhere.",Kudos Productions,Baccai Rampage,04SH009T1,Skill,NA,NA,,None,Baccai,Ability,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,"Immediately draw 1 of all your Ascendants.

For the rest of the game, your level 2 Ascendants are level 3.",,"""Shurima has known no glory like today. Come, bask in the light of our sun!"" - Voice of the Risen",Kudos Productions,Restored Sun Disc,04SH062T1,NA,NA,NA,,None,,Landmark,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Kill an ally or destroy one of your mana gems to draw a champion.,,"""A necessary sacrifice."" - Nasus",Kudos Productions,Rite of Calling,04SH121,Slow,NA,NA,Slow,Common,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,0,0,0,Destroy one of your mana gems to draw a Champion.,,,Kudos Productions,Rite of Calling,04SH121T1,Slow,NA,NA,Slow,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Kill an ally to draw a Champion.,,,Kudos Productions,Rite of Calling,04SH121T2,Slow,NA,NA,Slow,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,"If you've slain 13+ units this game, kill all enemy followers, then summon a copy of me.",,"""We are where both gods and men find their end."" - Sanctum Conservator",Kudos Productions,Conservator's Judgment,04SH097T1,Skill,NA,NA,,None,,Ability,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Predict.,,"""The fin brings fear, but the teeth bring death."" - Shuriman saying",Kudos Productions,Feral Prescience,04SH083,Burst,NA,NA,Burst,Rare,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,0,0,0,"Cast a The Absolver's Resurrection, a Fount of Power, or a Shield of the Sentinels.",,"Before the thief could even reach for her tools, a pale green fog enveloped the box, coaxing it open with a cold whisper.",Kudos Productions,Sentinel's Hoard,04SH130T13,Focus,Fleeting,NA,Focus,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Grant all enemies Vulnerable and create in hand a 0 cost copy of the strongest ally that died this game.,,"""Fate is what I make it."" - Akshan",Kudos Productions,The Absolver's Resurrection,04SH130T14,Focus,Fleeting,NA,Focus,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Draw 2. Your cards cost 1 less mana this round.,,"""My love... Why won't you answer? Please. Answer me, Isolde. ANSWER ME!"" - Viego",Kudos Productions,Fount of Power,04SH130T7,Focus,Fleeting,NA,Focus,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Grant your Champion card.svg champions everywhere SpellShield and +2|+2.,,The Sentinels of Light trace their heritage back to blessed Helia. The relic stones they saved from the Ruination would become the world's greatest defense against the darkness of the Black Mist.,Kudos Productions,Shield of the Sentinels,04SH130T8,Focus,Fleeting,NA,Focus,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,"Pick 1 - Predict then draw 1, summon a Sandstone Charger, or grant all allies +1|+0.",,"The Black Mist searched for her in everything. It cried out in his voice, grasped forward with his pleading hands, commanding her to return. But she could not. She would not.",Kudos Productions,Relic of Power,04SH130T10,Focus,Fleeting,NA,Focus,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,0,0,Pick a buff from among 3 to grant an ally.,,"Nothin' better than a payday."" - Sivir",Kudos Productions,Lucky Find,04SH098,Focus ,Fleeting,NA,,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Play: Predict.

Countdown 2: Summon a Clockling.",,"Though they might otherwise be thought of as lost to time, buried underneath years of sand, the automata were precisely placed, simply waiting to be awakened.",Polar Engine,Ancient Preparations,04SH028,Landmark,NA,NA,,Common,,Landmark,TRUE,4,Empires Of The Ascended,
Shurima,,1,1,2,"When you slay a unit, grant me +1|+0.",,"""The baccai all fled or were spared following their failed Ascension, and none have seen them since. Who knows how long they have hidden in those dark tombs, bearing the mark of their shame?"" - Scribe Kah'nir, History of the Ascended Host",Kudos Productions,Baccai Reaper,04SH002,Fearsome,NA,NA,,Rare,Baccai,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Look at 3 random landmarks you can afford. Pick 1 to create in hand.

Create a Taliyah in your deck.",,"""Come on - there's so much to see!"" - Taliyah",Kudos Productions,Taliyah's Stoneweaving,04SH073T3,Burst,NA,NA,Burst,None,,Spell,FALSE,4,Empires Of The Ascended,
Shurima,,1,1,1,Nexus Strike: Deal 1 to the enemy Nexus.,,"Azir's legions were reputed to be unstoppable even before Shurima was reborn, but now they are truly innumerable.",Kudos Productions,Sand Soldier,04SH003T1,Ephemeral,NA,NA,,None,,Unit,FALSE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Give an ally +1|+1 this round.

If you've summoned a landmark this game, give it +3|+1 instead.",,"""With the land's help, we WILL defend ourselves!"" - Taliyah",,Shaped Stone,04SH093,Burst,NA,NA,Burst,Common,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,1,1,1,"Round Start: If you've leveled a champion, transform me into Exalted Poro.",,"She didn't know what she had found, precisely... but it was shiny, and looked like a good snack.",Kudos Productions,Destined Poro,04SH049,NA,NA,NA,,Common,Poro,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,2,1,2,I have 3 random keywords.,,"As far as divine rulers go, she's awfully fond of snax. ",Kudos Productions,Exalted Poro,04SH049T1,NA,NA,NA,,None,Poro,Unit,FALSE,4,Empires Of The Ascended,
Shurima,,0,1,0,Give an enemy -2|-0 and Vulnerable this round.,,"Desert-dwellers know how to avoid the sun's searing and relentless heat, but those unprepared to withstand it will find their strength and energy sapped at remarkable speed.",Kudos Productions,Exhaust,04SH045,Focus,NA,NA,Burst,Common,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,2,1,1,"When I'm summoned, summon a Sand Soldier.",,"""As the emperor commands, both the sand and I obey.""
-------
""Word of Azir's return has spread across the deserts, from Shurima to the world beyond. I have ensured that myself.""",Kudos Productions,Dunekeeper,04SH026,NA,NA,NA,,Common,,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Start of Game: Draw 1 of me if all your cards are Shuriman.

Countdown 25: Restore the Sun Disc.

When an Ascended ally levels up, advance me 10 rounds.",,"When Azir beheld the Shuriman capital's Sun Disc, he saw it not for what it was, but what it could be--the key to returning Shurima to its former glory.",Kudos Productions,Buried Sun Disc,04SH062,Landmark,NA,NA,,Epic,,Landmark,TRUE,4,Empires Of The Ascended,
Shurima,,2,1,2,,,"The Clocklings were the first to wriggle free - precisely at the time Zilean had set them to wake up. They shook themselves off and went clambering over the ancient walls, seeking others of their kind.",Polar Engine,Clockling,04SH014,NA,NA,NA,,Common,,Unit,FALSE,4,Empires Of The Ascended,
Shurima,,3,1,1,,,"The Sandthrashers do everything with their companions. Fight, hunt, kill... and eat.",JiHun Lee,Bloodthirsty Marauder,04SH005,NA,NA,NA,,Common,,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,Look at 3 random landmarks you can afford. Pick 1 to create in hand.,,"""Come on - there's so much to see!"" - Taliyah",Kudos Productions,Stoneweaving,04SH110,Burst,NA,NA,Burst,Epic,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,1,1,1,,,"Once a caravan has been disabled, the hunters will occasionally retreat and allow their hatchlings to forage forward. It is here that the young xer'sai refine their instincts, learning which sounds are of the desert, and which signal their prey.",Wild Blue Studios,Xer'sai Hatchling,04SH074,Lurk,Fearsome,NA,,Common,Lurker,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Create a random landmark with Countdown in hand, or advance your landmarks 1 round.",,"""Time is evanescent."" - Zilean",Kudos Productions,Imagined Possibilities,04SH120,Focus,NA,NA,Focus,Rare,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Predict.
Give an enemy -2|-0 this round.",,"""I have seen my destiny, and this time, I will not be stopped."" - Azir",Kudos Productions,Scrying Sands,04SH079,Burst,NA,NA,Burst,Rare,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,2,1,1,"When I'm summoned, create a Waking Sands in hand.",,"""Okay, Davu. You're gonna go in there, grab that... whatever it is, and you're going to make us rich. Me rich. You're going to make me rich. Got it? Also, if that's a trapped thing, I am real sorry in advance.""",Grafit Studio,Treasure Seeker,04SH054,NA,NA,NA,,Common,,Unit,TRUE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Countdown 8: Create a Sentinel's Hoard in hand.
When you target allies advance me 1 round.",,"When a group of survivors from the fallen city of Vekaura learned of a particular warlord's sordid history, they wasted no time making plans to seize his ill-gotten gains.",Kudos Productions,Warlord's Hoard,04SH130T6,Landmark,NA,NA,,None,,Landmark,FALSE,4,Empires Of The Ascended,
Shurima,,0,1,0,"Countdown 8: Create a Relic of Power in hand.
When you target allies advance me 1.",,"""See that eyesore of a building? That's where the swine lives. We'll take him out, grab the loot, and be back in time for dinner."" - Vekauran Vagabond",Kudos Productions,Warlord's Palace,04SH130T1,Landmark,NA,NA,,None,,Landmark,FALSE,4,Empires Of The Ascended,
Shurima,,0,2,0,"Give an enemy follower -4|-0 this round.

If you have fewer mana gems than your opponent, kill it instead.",,"""The sun will shine again upon Shuriman lands."" - Voice of the Risen",Kudos Productions,Unworthy,04SH070,Slow,NA,NA,Slow,Epic,,Spell,TRUE,4,Empires Of The Ascended,
Shurima,,0,2,0,Create a Lucky Find in hand.,,"""Sure, I've had good days and bad days, just like anyone. In this line of work, the bad days can get real bad, and the good days can get real rich."" - Sivir",Kudos Productions,Payday,04SH035,Focus,NA,NA,Burst,Common,,Spell,TRUE,4,Empires Of The Ascended,
