region_1,region_2,attack,cost,health,effect,level_up_description,flavor_text,artist_name,card_name,card_code,keyword_1,keyword_2,keyword_3,spell_speed,rarity,affiliation,type,collectible,set_number,set_name,level
Targon,,1,0,1,,,"""During Targon's first equinox, the people of the mountain attempted their first truce. But as their leaders laid their weapons down, one suddenly cried out in pain! Soldiers drew their spears, and all thoughts of peace were lost. Little did they know the true betrayer was a serpent hidden beneath their feet, forevermore a sign of violent times."" 
- Targonian folk tale",Kudos Productions,The Serpent,03MT034,Challenger,NA,NA,,None,Celestial,Unit,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Reduce the cost of a card in hand by 1.,,"""Each full moon bathes our world in Her silver glow, revealing paths not yet trod, stories not yet told."" - Lunari Priestess",Kudos Productions,Moonsilver,03MT004,Burst,NA,NA,Burst,None,Celestial,Spell,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Stun the strongest enemy.,,"""The closer they stretch toward the heavens, the more the sun will burn them."" - Leona
",Kudos Productions,Solar Flare,03MT054T3,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,Stun enemies with 2 or less Power.,,"""Hahahaha, lookit 'em GO!  They're just. So. Fast! Is your head spinning too?!"" - Zoe",Kudos Productions,Mischief,03MT001T1,Skill,NA,NA,,None,,Ability,FALSE,3,Call Of The Mountain,
Targon,,0,0,0,"Stun an enemy. If it's a follower, Stun it again at the next Round Start.",,The Solari did not believe that another light could blind--a lesson the Lunari would readily teach.,Kudos Productions,Sky Charge,03MT220T1,Skill,NA,NA,,Common,,Ability,FALSE,3,Call Of The Mountain,
Targon,,0,1,0,Silence a follower.,,"In the space between the stars, there is absolute silence.",Max Grecke,Equinox,03MT065,Slow,NA,NA,Slow,None,Celestial,Spell,FALSE,3,Call Of The Mountain,
Targon,,4,1,1,,,"""The gold of the sun adorns his horns, and its fire lights his heart. Let the thunder of our shields ring out like the thunder of his hooves across the horizon!"" - Solari battle prayer",Kudos Productions,The Charger,03MT090,Overwhelm,NA,NA,,None,Celestial,Unit,FALSE,3,Call Of The Mountain,
Targon,,2,1,1,"When I'm summoned, create a Duskpetal Dust in hand.",,"""Duskpetals bloom at night, and then only under a full moon. A proud symbol of the Lunari, we have used their dust for centuries, as only we know how to harvest them safely.""",JiHun Lee,Lunari Duskbringer,03MT073,NA,NA,NA,,Common,Lunari,Unit,TRUE,3,Call Of The Mountain,
Targon,,0,1,0,The next unit with Nightfall you play this round costs 1 less.,,"The fragrance of the duskpetal is like none other. Sweet and strange, but fleeting, it is delicate as moonlight itself.",Kudos Productions,Duskpetal Dust,03MT073T1,Burst,NA,NA,Burst,None,,Spell,FALSE,3,Call Of The Mountain,
Targon,,0,1,0,"Pick a Moon Weapon to create in hand.

Create an Aphelios in your deck.",,"""Reach out, Aphelios..."" - Alune",Kudos Productions,Aphelios' Gifts From Beyond,03MT217T11,Burst,NA,NA,Burst,Common,,Spell,FALSE,3,Call Of The Mountain,
