"","symbol","date","open","high","low","close","volume","adjusted"
"1","BRK-A",1996-05-10,36000,36000,35100,35400,700,35400
"2","BRK-A",1996-05-13,35700,35700,34850,35300,200,35300
"3","BRK-A",1996-05-14,35600,35600,34900,35200,220,35200
"4","BRK-A",1996-05-15,35300,35300,34650,34650,90,34650
"5","BRK-A",1996-05-16,34800,34800,33700,33700,80,33700
"6","BRK-A",1996-05-17,34200,34400,34000,34100,70,34100
"7","BRK-A",1996-05-20,34300,34400,34000,34000,110,34000
"8","BRK-A",1996-05-21,34000,34000,33700,33700,50,33700
"9","BRK-A",1996-05-22,33500,33600,33100,33100,50,33100
"10","BRK-A",1996-05-23,33000,33000,32900,32900,60,32900
"11","BRK-A",1996-05-24,32800,32800,32400,32400,100,32400
"12","BRK-A",1996-05-28,32600,33000,31800,31800,300,31800
"13","BRK-A",1996-05-29,31500,31600,31300,31400,120,31400
"14","BRK-A",1996-05-30,31000,31100,30400,30600,410,30600
"15","BRK-A",1996-05-31,30100,30500,30000,30500,480,30500
"16","BRK-A",1996-06-03,30500,30500,30100,30100,120,30100
"17","BRK-A",1996-06-04,30100,31900,30100,31900,290,31900
"18","BRK-A",1996-06-05,32000,32700,32000,32600,300,32600
"19","BRK-A",1996-06-06,32700,32800,32400,32400,110,32400
"20","BRK-A",1996-06-07,32100,32400,32000,32400,60,32400
"21","BRK-A",1996-06-10,32600,32650,31900,31900,90,31900
"22","BRK-A",1996-06-11,31950,32500,31950,32400,100,32400
"23","BRK-A",1996-06-12,32500,33000,32500,33000,190,33000
"24","BRK-A",1996-06-13,33100,33200,33100,33100,80,33100
"25","BRK-A",1996-06-14,33100,33100,33100,33100,70,33100
"26","BRK-A",1996-06-17,32900,32900,32650,32655,50,32655
"27","BRK-A",1996-06-18,32600,32600,32600,32600,10,32600
"28","BRK-A",1996-06-19,32300,32300,32200,32200,50,32200
"29","BRK-A",1996-06-20,32000,32000,31200,31200,70,31200
"30","BRK-A",1996-06-21,30800,31000,30700,31000,590,31000
"31","BRK-A",1996-06-24,31100,31100,30850,30850,180,30850
"32","BRK-A",1996-06-25,30900,31000,30200,30600,580,30600
"33","BRK-A",1996-06-26,30800,30900,30500,30700,130,30700
"34","BRK-A",1996-06-27,30500,30500,30100,30200,140,30200
"35","BRK-A",1996-06-28,30500,30700,30400,30700,110,30700
"36","BRK-A",1996-07-01,31200,31900,31200,31900,30,31900
"37","BRK-A",1996-07-02,32500,32750,32300,32750,70,32750
"38","BRK-A",1996-07-03,32600,32600,31750,31950,100,31950
"39","BRK-A",1996-07-05,31500,31650,31000,31000,100,31000
"40","BRK-A",1996-07-08,30900,32200,30800,31600,220,31600
"41","BRK-A",1996-07-09,31500,32000,31000,32000,230,32000
"42","BRK-A",1996-07-10,32000,32000,31400,31500,120,31500
"43","BRK-A",1996-07-11,31300,31300,30900,31100,120,31100
"44","BRK-A",1996-07-12,31200,31800,31200,31275,120,31275
"45","BRK-A",1996-07-15,31200,31200,31100,31150,200,31150
