"mission_number","mission_name","satellite_ver","launch_date","launch_vehicle","orbit_altitude","orbit_inclination","satellite_deployed","satellite_working","launch_outcome","launch_sites"
"–
","Tintin","v0.1
","22 Feb 2018","F9 FT <U+267A> B1038.2 ","514 km (319 mi)
","97.5°","2
","0
","Success
","VAFB , SLC-4E"
"1
","v0.9","v0.9
","24 May 2019","F9 B5 <U+267A> B1049.3","440–550 km (270–340 mi)","53.0°
","60
","0
","Success","SLC-4E , SLC-40"
"2
","L1","v1.0
","11 November 2019","F9 B5 <U+267A> B1048.4
","550 km (340 mi)
","53.0°
","60
","52
","Success
","CCAFS , SLC-40"
"3
","L2
","v1.0
","7 January 2020","F9 B5 <U+267A> B1049.4
","550 km (340 mi)
","53.0°
","60
","48
","Success
","SLC-40 , SLC-40"
"4
","L3
","v1.0
","29 January 2020","F9 B5 <U+267A> B1051.3
","550 km (340 mi)
","53.0°
","60
","50
","Success
","CCAFS , SLC-40"
"5
","L4
","v1.0
","17 February 2020","F9 B5 <U+267A> B1056.4
","550 km (340 mi)
","53.0°
","60
","54
","Success
","SLC-40 , SLC-40"
"6
","L5
","v1.0
","18 March 2020","F9 B5 <U+267A> B1048.5
","550 km (340 mi)
","53.0°
","60
","56
","Success
","CCAFS , LC-39A"
"7
","L6
","v1.0
","22 April 2020","F9 B5 <U+267A> B1051.4
","550 km (340 mi)
","53.0°
","60
","58
","Success
","SLC-40 , LC-39A"
"8
","L7
","v1.0
","4 June 2020","F9 B5 <U+267A> B1049.5
","550 km (340 mi)
","53.0°
","60
","57
","Success
","CCAFS , SLC-40"
"9
","L8
","v1.0
","13 June 2020","F9 B5 <U+267A> B1059.3
","550 km (340 mi)
","53.0°
","58
","55
","Success
","SLC-40 , SLC-40"
"10
","L9
","v1.0
","7 August 2020","F9 B5 <U+267A> B1051.5
","550 km (340 mi)
","53.0°
","57
","56
","Success
","CCAFS , LC-39A"
"11
","L10
","v1.0
","18 August 2020","F9 B5 <U+267A> B1049.6","550 km (340 mi)
","53.0°
","58
","55
","Success
","SLC-40 , SLC-40"
"12
","L11
","v1.0
","3 September 2020","F9 B5 <U+267A> B1060.2
","550 km (340 mi)
","53.0°
","60
","54
","Success
","KSC , LC-39A"
"13
","L12
","v1.0
","6 October 2020","F9 B5 <U+267A> B1058.3
","550 km (340 mi)
","53.0°
","60
","57
","Success
","LC-39A , LC-39A"
"14
","L13
","v1.0
","18 October 2020","F9 B5 <U+267A> B1051.6
","550 km (340 mi)
","53.0°
","60
","51
","Success
","KSC , LC-39A"
"15
","L14
","v1.0
","24 October 2020","F9 B5 <U+267A> B1060.3
","550 km (340 mi)
","53.0°
","60
","51
","Success
","LC-39A , SLC-40"
"16
","L15
","v1.0
","25 November 2020","F9 B5 <U+267A> B1049.7
","550 km (340 mi)
","53.0°
","60
","50
","Success
","CCAFS , SLC-40"
"17
","L16
","v1.0
","20 January 2021","F9 B5 <U+267A> B1051.8
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , LC-39A"
"–
","Tr-1
","v1.0
","24 January 2021","F9 B5 <U+267A> B1058.5
","560 km (350 mi)
","97.5°","10
","10
","Success
","CCAFS , SLC-40"
"18
","L18
","v1.0
","4 February 2021","F9 B5 <U+267A> B1060.5
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , SLC-40"
"19
","L19
","v1.0
","16 February 2021","F9 B5 <U+267A> B1059.6
","550 km (340 mi)
","53.0°
","60
","59
","Success
","KSC , SLC-40"
"20
","L17
","v1.0
","4 March 2021","F9 B5 <U+267A> B1049.8
","550 km (340 mi)
","53.0°
","60
","60
","Success
","LC-39A , LC-39A"
"21
","L20
","v1.0
","11 March 2021","F9 B5 <U+267A> B1058.6
","550 km (340 mi)
","53.0°
","60
","60
","Success
","CCAFS , SLC-40"
"22
","L21
","v1.0
","14 March 2021","F9 B5 <U+267A> B1051.9
","550 km (340 mi)
","53.0°
","60
","59
","Success
","SLC-40 , LC-39A"
"23
","L22
","v1.0
","24 March 2021","F9 B5 <U+267A> B1060.6
","550 km (340 mi)
","53.0°
","60
","57
","Success
","KSC , SLC-40"
"24
","L23
","v1.0
","7 April 2021","F9 B5 <U+267A> B1058.7
","550 km (340 mi)
","53.0°
","60
","60
","Success
","LC-39A , SLC-40"
"25
","L24
","v1.0
","29 April 2021","F9 B5 <U+267A> B1060.7
","550 km (340 mi)
","53.0°
","60
","60
","Success
","KSC , SLC-40"
"26
","L25
","v1.0
","4 May 2021","F9 B5 <U+267A> B1049.9
","550 km (340 mi)
","53.0°
","60
","60
","Success
","LC-39A , LC-39A"
"27
","L27
","v1.0
","9 May 2021","F9 B5 <U+267A> B1051.10
","550 km (340 mi)
","53.0°
","60
","58
","Success
","KSC , SLC-40"
"28
","L26
","v1.0
","15 May 2021","F9 B5 <U+267A> B1058.8
","569–582 km (354–362 mi)
","53.0°
","52
","51
","Success
","LC-39A , LC-39A"
"29
","L28
","v1.0
","26 May 2021","F9 B5 <U+267A> B1063.2
","550 km (340 mi)","53.0°
","60
","60
","Success
","CCAFS , SLC-40"
"–
","Tr-2
","v1.0
","30 June 2021","F9 B5 <U+267A> B1060.8
","560 km (350 mi)
","97.5°
","3
","3
","Success
","SLC-40 , SLC-40"
"30
","Group 2-1
","v1.5
","14 September 2021","F9 B5 <U+267A> B1049.10","570 km (350 mi)
","70.0°
","51
","51
","Success
","CCAFS , SLC-4E"
"31
","Group 4-1
","v1.5
","13 November 2021","F9 B5 <U+267A> B1058.9
","540 km (340 mi)
","53.2°","53
","52
","Success
","SLC-40 , SLC-40"
"32
","Group 4-3
","v1.5
","2 December 2021","F9 B5 <U+267A> B1060.9
","540 km (340 mi)
","53.2°
","48
","48
","Success
","KSC , SLC-40"
"33
","Group 4-4
","v1.5
","18 December 2021","F9 B5 <U+267A> B1051.11
","540 km (340 mi)
","53.2°
","52","52
","Success
","LC-39A , SLC-4E"
"–
","Tintin","v0.1
","22 Feb 2018","F9 FT <U+267A> B1038.2 ","514 km (319 mi)
","97.5°","2
","0
","Success
","CCSFS , SLC-4E"
"1
","v0.9","v0.9
","24 May 2019","F9 B5 <U+267A> B1049.3","440–550 km (270–340 mi)","53.0°
","60
","0
","Success","SLC-40 , SLC-40"
"2
","L1","v1.0
","11 November 2019","F9 B5 <U+267A> B1048.4
","550 km (340 mi)
","53.0°
","60
","52
","Success
","CCSFS , SLC-40"
"3
","L2
","v1.0
","7 January 2020","F9 B5 <U+267A> B1049.4
","550 km (340 mi)
","53.0°
","60
","48
","Success
","SLC-40 , SLC-40"
"4
","L3
","v1.0
","29 January 2020","F9 B5 <U+267A> B1051.3
","550 km (340 mi)
","53.0°
","60
","50
","Success
","CCSFS , SLC-40"
"5
","L4
","v1.0
","17 February 2020","F9 B5 <U+267A> B1056.4
","550 km (340 mi)
","53.0°
","60
","54
","Success
","SLC-40 , SLC-40"
"6
","L5
","v1.0
","18 March 2020","F9 B5 <U+267A> B1048.5
","550 km (340 mi)
","53.0°
","60
","56
","Success
","KSC , LC-39A"
"7
","L6
","v1.0
","22 April 2020","F9 B5 <U+267A> B1051.4
","550 km (340 mi)
","53.0°
","60
","58
","Success
","LC-39A , LC-39A"
"8
","L7
","v1.0
","4 June 2020","F9 B5 <U+267A> B1049.5
","550 km (340 mi)
","53.0°
","60
","57
","Success
","CCSFS , SLC-40"
"9
","L8
","v1.0
","13 June 2020","F9 B5 <U+267A> B1059.3
","550 km (340 mi)
","53.0°
","58
","55
","Success
","SLC-40 , SLC-40"
"10
","L9
","v1.0
","7 August 2020","F9 B5 <U+267A> B1051.5
","550 km (340 mi)
","53.0°
","57
","56
","Success
","KSC , LC-39A"
"11
","L10
","v1.0
","18 August 2020","F9 B5 <U+267A> B1049.6","550 km (340 mi)
","53.0°
","58
","55
","Success
","LC-39A , SLC-40"
"12
","L11
","v1.0
","3 September 2020","F9 B5 <U+267A> B1060.2
","550 km (340 mi)
","53.0°
","60
","54
","Success
","CCSFS , LC-39A"
"13
","L12
","v1.0
","6 October 2020","F9 B5 <U+267A> B1058.3
","550 km (340 mi)
","53.0°
","60
","57
","Success
","SLC-40 , LC-39A"
"14
","L13
","v1.0
","18 October 2020","F9 B5 <U+267A> B1051.6
","550 km (340 mi)
","53.0°
","60
","51
","Success
","CCSFS , LC-39A"
"15
","L14
","v1.0
","24 October 2020","F9 B5 <U+267A> B1060.3
","550 km (340 mi)
","53.0°
","60
","51
","Success
","SLC-40 , SLC-40"
"16
","L15
","v1.0
","25 November 2020","F9 B5 <U+267A> B1049.7
","550 km (340 mi)
","53.0°
","60
","50
","Success
","CCSFS , SLC-40"
"17
","L16
","v1.0
","20 January 2021","F9 B5 <U+267A> B1051.8
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , LC-39A"
"–
","Tr-1
","v1.0
","24 January 2021","F9 B5 <U+267A> B1058.5
","560 km (350 mi)
","97.5°","10
","10
","Success
","KSC , SLC-40"
"18
","L18
","v1.0
","4 February 2021","F9 B5 <U+267A> B1060.5
","550 km (340 mi)
","53.0°
","60
","60
","Success
","LC-39A , SLC-40"
"19
","L19
","v1.0
","16 February 2021","F9 B5 <U+267A> B1059.6
","550 km (340 mi)
","53.0°
","60
","59
","Success
","CCSFS , SLC-40"
"20
","L17
","v1.0
","4 March 2021","F9 B5 <U+267A> B1049.8
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , LC-39A"
"21
","L20
","v1.0
","11 March 2021","F9 B5 <U+267A> B1058.6
","550 km (340 mi)
","53.0°
","60
","60
","Success
","KSC , SLC-40"
"22
","L21
","v1.0
","14 March 2021","F9 B5 <U+267A> B1051.9
","550 km (340 mi)
","53.0°
","60
","59
","Success
","LC-39A , LC-39A"
"23
","L22
","v1.0
","24 March 2021","F9 B5 <U+267A> B1060.6
","550 km (340 mi)
","53.0°
","60
","57
","Success
","CCSFS , SLC-40"
"24
","L23
","v1.0
","7 April 2021","F9 B5 <U+267A> B1058.7
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , SLC-40"
"25
","L24
","v1.0
","29 April 2021","F9 B5 <U+267A> B1060.7
","550 km (340 mi)
","53.0°
","60
","60
","Success
","CCSFS , SLC-40"
"26
","L25
","v1.0
","4 May 2021","F9 B5 <U+267A> B1049.9
","550 km (340 mi)
","53.0°
","60
","60
","Success
","SLC-40 , LC-39A"
"27
","L27
","v1.0
","9 May 2021","F9 B5 <U+267A> B1051.10
","550 km (340 mi)
","53.0°
","60
","58
","Success
","VSFB , SLC-40"
"28
","L26
","v1.0
","15 May 2021","F9 B5 <U+267A> B1058.8
","569–582 km (354–362 mi)
","53.0°
","52
","51
","Success
","SLC-4E , LC-39A"
"29
","L28
","v1.0
","26 May 2021","F9 B5 <U+267A> B1063.2
","550 km (340 mi)","53.0°
","60
","60
","Success
","CCSFS , SLC-40"
"–
","Tr-2
","v1.0
","30 June 2021","F9 B5 <U+267A> B1060.8
","560 km (350 mi)
","97.5°
","3
","3
","Success
","SLC-40 , SLC-40"
"30
","Group 2-1
","v1.5
","14 September 2021","F9 B5 <U+267A> B1049.10","570 km (350 mi)
","70.0°
","51
","51
","Success
","CCSFS , SLC-4E"
"31
","Group 4-1
","v1.5
","13 November 2021","F9 B5 <U+267A> B1058.9
","540 km (340 mi)
","53.2°","53
","52
","Success
","SLC-40 , SLC-40"
"32
","Group 4-3
","v1.5
","2 December 2021","F9 B5 <U+267A> B1060.9
","540 km (340 mi)
","53.2°
","48
","48
","Success
","VSFB , SLC-40"
"33
","Group 4-4
","v1.5
","18 December 2021","F9 B5 <U+267A> B1051.11
","540 km (340 mi)
","53.2°
","52","52
","Success
","SLC-4E , SLC-4E"
